#Companies are listed in decreasing order of the number of missing values in their life span
#<company>	<T1>	<T2>	<#observed in [T1, T2]>	<#missing in [T1, T2]>
31      1   5664   5664      0
33      1   9335   9335      0
35   3104   5079   1976      0
38   3154   9335   6182      0
39      1   1223   1223      0
40      1   5781   5781      0
41      1   2537   2537      0
42      1   9335   9335      0
44      1   6278   6278      0
45   2886   9335   6450      0
46      1   9335   9335      0
47   2894   8323   5430      0
50   2906   5658   2753      0
51   2907   6138   3232      0
52   2907   7383   4477      0
53   2925   9335   6411      0
54   2936   9335   6400      0
55      1   7616   7616      0
56      1   9335   9335      0
57      1   9335   9335      0
58      1   9096   9096      0
59      1   9335   9335      0
60      1   9335   9335      0
62   3141   9335   6195      0
63   3143   6038   2896      0
64   3175   7855   4681      0
68      1   9335   9335      0
69   3164   9335   6172      0
70   3189   9191   6003      0
72   3195   4754   1560      0
73      1   9228   9228      0
75   3238   7315   4078      0
76   3250   8764   5515      0
78      1   6556   6556      0
79   8805   9335    531      0
81   8836   9182    347      0
85      1   6267   6267      0
86      1   9335   9335      0
88      1   9335   9335      0
89      1   1197   1197      0
90      1   9335   9335      0
91   8960   9335    376      0
92   8960   9335    376      0
93      1   2662   2662      0
94      1   9335   9335      0
95      1   7488   7488      0
96   9057   9335    279      0
97      1   7636   7636      0
98   9087   9335    249      0
99   9080   9335    256      0
101   9276   9335     60      0
102      1    130    130      0
103   6929   9335   2407      0
105      1   9335   9335      0
106      1   1607   1607      0
107      1   7859   7859      0
108      1   9335   9335      0
110      1   9335   9335      0
111      1   9335   9335      0
112   1887   9335   7449      0
115      1   9335   9335      0
116      1   7379   7379      0
117   1130   8074   6945      0
118      1   2385   2385      0
120   1146   2241   1096      0
121      1   9335   9335      0
122   1252   9335   8084      0
123   1813   3382   1570      0
124      1   9277   9277      0
125      1   9335   9335      0
127      1   7475   7475      0
128      1   2460   2460      0
129      1   9335   9335      0
130      1   8331   8331      0
131      1   9335   9335      0
133      1   9335   9335      0
134      1   6343   6343      0
135      1   8528   8528      0
136      1   2789   2789      0
138      1   5841   5841      0
139      1   6044   6044      0
141      1   2610   2610      0
142      1   3292   3292      0
143      1   7511   7511      0
144      1   9335   9335      0
145      1   9335   9335      0
146      1   2359   2359      0
147      1   9335   9335      0
148      1   9335   9335      0
149      1   9335   9335      0
153      1   6002   6002      0
154      1   2926   2926      0
156      1   9335   9335      0
159      1   9335   9335      0
160      1   9335   9335      0
162      1   5659   5659      0
164      1   5881   5881      0
165      1   9335   9335      0
166      1   6045   6045      0
167      1   6890   6890      0
168      1   9335   9335      0
169      1   9335   9335      0
170      1   9335   9335      0
172      1   3120   3120      0
173      1   6805   6805      0
175      1   2815   2815      0
180      1   9335   9335      0
181      1   9335   9335      0
183      1   9335   9335      0
184      1   3973   3973      0
185      1   5814   5814      0
186      1   9335   9335      0
188      1   6779   6779      0
191      1   6585   6585      0
192   2012   4012   2001      0
193    660   9335   8676      0
194      1   9335   9335      0
195      1   8629   8629      0
198      1   5498   5498      0
201      1   2588   2588      0
