#<date in matlab serial format>	<date in the format dd mmm yyyy>	<time index>
724685	13 Feb 1984	2052
724686	14 Feb 1984	2053
724687	15 Feb 1984	2054
724688	16 Feb 1984	2055
724689	17 Feb 1984	2056
724693	21 Feb 1984	2057
724694	22 Feb 1984	2058
724695	23 Feb 1984	2059
724696	24 Feb 1984	2060
724699	27 Feb 1984	2061
724700	28 Feb 1984	2062
724701	29 Feb 1984	2063
724702	01 Mar 1984	2064
724703	02 Mar 1984	2065
724706	05 Mar 1984	2066
724707	06 Mar 1984	2067
724708	07 Mar 1984	2068
724709	08 Mar 1984	2069
724710	09 Mar 1984	2070
724713	12 Mar 1984	2071
724714	13 Mar 1984	2072
724715	14 Mar 1984	2073
724716	15 Mar 1984	2074
724717	16 Mar 1984	2075
724720	19 Mar 1984	2076
724721	20 Mar 1984	2077
724722	21 Mar 1984	2078
724723	22 Mar 1984	2079
724724	23 Mar 1984	2080
724727	26 Mar 1984	2081
724728	27 Mar 1984	2082
724729	28 Mar 1984	2083
724730	29 Mar 1984	2084
724731	30 Mar 1984	2085
724734	02 Apr 1984	2086
724735	03 Apr 1984	2087
724736	04 Apr 1984	2088
724737	05 Apr 1984	2089
724738	06 Apr 1984	2090
724741	09 Apr 1984	2091
724742	10 Apr 1984	2092
724743	11 Apr 1984	2093
724744	12 Apr 1984	2094
724745	13 Apr 1984	2095
724748	16 Apr 1984	2096
724749	17 Apr 1984	2097
724750	18 Apr 1984	2098
724751	19 Apr 1984	2099
724755	23 Apr 1984	2100
724756	24 Apr 1984	2101
724757	25 Apr 1984	2102
724758	26 Apr 1984	2103
724759	27 Apr 1984	2104
724762	30 Apr 1984	2105
724763	01 May 1984	2106
724764	02 May 1984	2107
724765	03 May 1984	2108
724766	04 May 1984	2109
724769	07 May 1984	2110
724770	08 May 1984	2111
724771	09 May 1984	2112
724772	10 May 1984	2113
724773	11 May 1984	2114
724776	14 May 1984	2115
724777	15 May 1984	2116
724778	16 May 1984	2117
724779	17 May 1984	2118
724780	18 May 1984	2119
724783	21 May 1984	2120
724784	22 May 1984	2121
724785	23 May 1984	2122
724786	24 May 1984	2123
724787	25 May 1984	2124
724791	29 May 1984	2125
724792	30 May 1984	2126
724793	31 May 1984	2127
724794	01 Jun 1984	2128
724797	04 Jun 1984	2129
724798	05 Jun 1984	2130
724799	06 Jun 1984	2131
724800	07 Jun 1984	2132
724801	08 Jun 1984	2133
724804	11 Jun 1984	2134
724805	12 Jun 1984	2135
724806	13 Jun 1984	2136
724807	14 Jun 1984	2137
724808	15 Jun 1984	2138
724811	18 Jun 1984	2139
724812	19 Jun 1984	2140
724813	20 Jun 1984	2141
724814	21 Jun 1984	2142
724815	22 Jun 1984	2143
724818	25 Jun 1984	2144
724819	26 Jun 1984	2145
724820	27 Jun 1984	2146
724821	28 Jun 1984	2147
724822	29 Jun 1984	2148
724825	02 Jul 1984	2149
724826	03 Jul 1984	2150
724828	05 Jul 1984	2151
724829	06 Jul 1984	2152
724832	09 Jul 1984	2153
724833	10 Jul 1984	2154
724834	11 Jul 1984	2155
724835	12 Jul 1984	2156
724836	13 Jul 1984	2157
724839	16 Jul 1984	2158
724840	17 Jul 1984	2159
724841	18 Jul 1984	2160
724842	19 Jul 1984	2161
724843	20 Jul 1984	2162
724846	23 Jul 1984	2163
724847	24 Jul 1984	2164
724848	25 Jul 1984	2165
724849	26 Jul 1984	2166
724850	27 Jul 1984	2167
724853	30 Jul 1984	2168
724854	31 Jul 1984	2169
724855	01 Aug 1984	2170
724856	02 Aug 1984	2171
724857	03 Aug 1984	2172
724860	06 Aug 1984	2173
724861	07 Aug 1984	2174
724862	08 Aug 1984	2175
724863	09 Aug 1984	2176
724864	10 Aug 1984	2177
724867	13 Aug 1984	2178
724868	14 Aug 1984	2179
724869	15 Aug 1984	2180
724870	16 Aug 1984	2181
724871	17 Aug 1984	2182
724874	20 Aug 1984	2183
724875	21 Aug 1984	2184
724876	22 Aug 1984	2185
724877	23 Aug 1984	2186
724878	24 Aug 1984	2187
724881	27 Aug 1984	2188
724882	28 Aug 1984	2189
724883	29 Aug 1984	2190
724884	30 Aug 1984	2191
724885	31 Aug 1984	2192
724889	04 Sep 1984	2193
724890	05 Sep 1984	2194
724891	06 Sep 1984	2195
724892	07 Sep 1984	2196
724895	10 Sep 1984	2197
724896	11 Sep 1984	2198
724897	12 Sep 1984	2199
724898	13 Sep 1984	2200
724899	14 Sep 1984	2201
724902	17 Sep 1984	2202
724903	18 Sep 1984	2203
724904	19 Sep 1984	2204
724905	20 Sep 1984	2205
724906	21 Sep 1984	2206
724909	24 Sep 1984	2207
724910	25 Sep 1984	2208
724911	26 Sep 1984	2209
724912	27 Sep 1984	2210
724913	28 Sep 1984	2211
724916	01 Oct 1984	2212
724917	02 Oct 1984	2213
724918	03 Oct 1984	2214
724919	04 Oct 1984	2215
724920	05 Oct 1984	2216
724923	08 Oct 1984	2217
724924	09 Oct 1984	2218
724925	10 Oct 1984	2219
724926	11 Oct 1984	2220
724927	12 Oct 1984	2221
724930	15 Oct 1984	2222
724931	16 Oct 1984	2223
724932	17 Oct 1984	2224
724933	18 Oct 1984	2225
724934	19 Oct 1984	2226
724937	22 Oct 1984	2227
724938	23 Oct 1984	2228
724939	24 Oct 1984	2229
724940	25 Oct 1984	2230
724941	26 Oct 1984	2231
724944	29 Oct 1984	2232
724945	30 Oct 1984	2233
724946	31 Oct 1984	2234
724947	01 Nov 1984	2235
724948	02 Nov 1984	2236
724951	05 Nov 1984	2237
724952	06 Nov 1984	2238
724953	07 Nov 1984	2239
724954	08 Nov 1984	2240
724955	09 Nov 1984	2241
724958	12 Nov 1984	2242
724959	13 Nov 1984	2243
724960	14 Nov 1984	2244
724961	15 Nov 1984	2245
724962	16 Nov 1984	2246
724965	19 Nov 1984	2247
724966	20 Nov 1984	2248
724967	21 Nov 1984	2249
724969	23 Nov 1984	2250
724972	26 Nov 1984	2251
724973	27 Nov 1984	2252
724974	28 Nov 1984	2253
724975	29 Nov 1984	2254
724976	30 Nov 1984	2255
724979	03 Dec 1984	2256
724980	04 Dec 1984	2257
724981	05 Dec 1984	2258
724982	06 Dec 1984	2259
724983	07 Dec 1984	2260
724986	10 Dec 1984	2261
724987	11 Dec 1984	2262
724988	12 Dec 1984	2263
724989	13 Dec 1984	2264
724990	14 Dec 1984	2265
724993	17 Dec 1984	2266
724994	18 Dec 1984	2267
724995	19 Dec 1984	2268
724996	20 Dec 1984	2269
724997	21 Dec 1984	2270
725000	24 Dec 1984	2271
725002	26 Dec 1984	2272
725003	27 Dec 1984	2273
725004	28 Dec 1984	2274
725007	31 Dec 1984	2275
725009	02 Jan 1985	2276
725010	03 Jan 1985	2277
725011	04 Jan 1985	2278
725014	07 Jan 1985	2279
725015	08 Jan 1985	2280
725016	09 Jan 1985	2281
725017	10 Jan 1985	2282
725018	11 Jan 1985	2283
725021	14 Jan 1985	2284
725022	15 Jan 1985	2285
725023	16 Jan 1985	2286
725024	17 Jan 1985	2287
725025	18 Jan 1985	2288
725028	21 Jan 1985	2289
725029	22 Jan 1985	2290
725030	23 Jan 1985	2291
725031	24 Jan 1985	2292
725032	25 Jan 1985	2293
725035	28 Jan 1985	2294
725036	29 Jan 1985	2295
725037	30 Jan 1985	2296
725038	31 Jan 1985	2297
725039	01 Feb 1985	2298
725042	04 Feb 1985	2299
725043	05 Feb 1985	2300
725044	06 Feb 1985	2301
725045	07 Feb 1985	2302
725046	08 Feb 1985	2303
725049	11 Feb 1985	2304
725050	12 Feb 1985	2305
725051	13 Feb 1985	2306
725052	14 Feb 1985	2307
725053	15 Feb 1985	2308
725057	19 Feb 1985	2309
725058	20 Feb 1985	2310
725059	21 Feb 1985	2311
725060	22 Feb 1985	2312
725063	25 Feb 1985	2313
725064	26 Feb 1985	2314
725065	27 Feb 1985	2315
725066	28 Feb 1985	2316
725067	01 Mar 1985	2317
725070	04 Mar 1985	2318
725071	05 Mar 1985	2319
725072	06 Mar 1985	2320
725073	07 Mar 1985	2321
725074	08 Mar 1985	2322
725077	11 Mar 1985	2323
725078	12 Mar 1985	2324
725079	13 Mar 1985	2325
725080	14 Mar 1985	2326
725081	15 Mar 1985	2327
725084	18 Mar 1985	2328
725085	19 Mar 1985	2329
725086	20 Mar 1985	2330
725087	21 Mar 1985	2331
725088	22 Mar 1985	2332
725091	25 Mar 1985	2333
725092	26 Mar 1985	2334
725093	27 Mar 1985	2335
725094	28 Mar 1985	2336
725095	29 Mar 1985	2337
725098	01 Apr 1985	2338
725099	02 Apr 1985	2339
725100	03 Apr 1985	2340
725101	04 Apr 1985	2341
725105	08 Apr 1985	2342
725106	09 Apr 1985	2343
725107	10 Apr 1985	2344
725108	11 Apr 1985	2345
725109	12 Apr 1985	2346
725112	15 Apr 1985	2347
725113	16 Apr 1985	2348
725114	17 Apr 1985	2349
725115	18 Apr 1985	2350
725116	19 Apr 1985	2351
725119	22 Apr 1985	2352
725120	23 Apr 1985	2353
725121	24 Apr 1985	2354
725122	25 Apr 1985	2355
725123	26 Apr 1985	2356
725126	29 Apr 1985	2357
725127	30 Apr 1985	2358
725128	01 May 1985	2359
725129	02 May 1985	2360
725130	03 May 1985	2361
725133	06 May 1985	2362
725134	07 May 1985	2363
725135	08 May 1985	2364
725136	09 May 1985	2365
725137	10 May 1985	2366
725140	13 May 1985	2367
725141	14 May 1985	2368
725142	15 May 1985	2369
725143	16 May 1985	2370
725144	17 May 1985	2371
725147	20 May 1985	2372
725148	21 May 1985	2373
725149	22 May 1985	2374
725150	23 May 1985	2375
725151	24 May 1985	2376
725155	28 May 1985	2377
725156	29 May 1985	2378
725157	30 May 1985	2379
725158	31 May 1985	2380
725161	03 Jun 1985	2381
725162	04 Jun 1985	2382
725163	05 Jun 1985	2383
725164	06 Jun 1985	2384
725165	07 Jun 1985	2385
725168	10 Jun 1985	2386
725169	11 Jun 1985	2387
725170	12 Jun 1985	2388
725171	13 Jun 1985	2389
725172	14 Jun 1985	2390
725175	17 Jun 1985	2391
725176	18 Jun 1985	2392
725177	19 Jun 1985	2393
725178	20 Jun 1985	2394
725179	21 Jun 1985	2395
725182	24 Jun 1985	2396
725183	25 Jun 1985	2397
725184	26 Jun 1985	2398
725185	27 Jun 1985	2399
725186	28 Jun 1985	2400
725189	01 Jul 1985	2401
725190	02 Jul 1985	2402
725191	03 Jul 1985	2403
725193	05 Jul 1985	2404
725196	08 Jul 1985	2405
725197	09 Jul 1985	2406
725198	10 Jul 1985	2407
725199	11 Jul 1985	2408
725200	12 Jul 1985	2409
725203	15 Jul 1985	2410
725204	16 Jul 1985	2411
725205	17 Jul 1985	2412
725206	18 Jul 1985	2413
725207	19 Jul 1985	2414
725210	22 Jul 1985	2415
725211	23 Jul 1985	2416
725212	24 Jul 1985	2417
725213	25 Jul 1985	2418
725214	26 Jul 1985	2419
725217	29 Jul 1985	2420
725218	30 Jul 1985	2421
725219	31 Jul 1985	2422
725220	01 Aug 1985	2423
725221	02 Aug 1985	2424
725224	05 Aug 1985	2425
725225	06 Aug 1985	2426
725226	07 Aug 1985	2427
725227	08 Aug 1985	2428
725228	09 Aug 1985	2429
725231	12 Aug 1985	2430
725232	13 Aug 1985	2431
725233	14 Aug 1985	2432
725234	15 Aug 1985	2433
725235	16 Aug 1985	2434
725238	19 Aug 1985	2435
725239	20 Aug 1985	2436
725240	21 Aug 1985	2437
725241	22 Aug 1985	2438
725242	23 Aug 1985	2439
725245	26 Aug 1985	2440
725246	27 Aug 1985	2441
725247	28 Aug 1985	2442
725248	29 Aug 1985	2443
725249	30 Aug 1985	2444
725253	03 Sep 1985	2445
725254	04 Sep 1985	2446
725255	05 Sep 1985	2447
725256	06 Sep 1985	2448
725259	09 Sep 1985	2449
725260	10 Sep 1985	2450
725261	11 Sep 1985	2451
725262	12 Sep 1985	2452
725263	13 Sep 1985	2453
725266	16 Sep 1985	2454
725267	17 Sep 1985	2455
725268	18 Sep 1985	2456
725269	19 Sep 1985	2457
725270	20 Sep 1985	2458
725273	23 Sep 1985	2459
725274	24 Sep 1985	2460
725275	25 Sep 1985	2461
725276	26 Sep 1985	2462
725280	30 Sep 1985	2463
725281	01 Oct 1985	2464
725282	02 Oct 1985	2465
725283	03 Oct 1985	2466
725284	04 Oct 1985	2467
725287	07 Oct 1985	2468
725288	08 Oct 1985	2469
725289	09 Oct 1985	2470
725290	10 Oct 1985	2471
725291	11 Oct 1985	2472
725294	14 Oct 1985	2473
725295	15 Oct 1985	2474
725296	16 Oct 1985	2475
725297	17 Oct 1985	2476
725298	18 Oct 1985	2477
725301	21 Oct 1985	2478
725302	22 Oct 1985	2479
725303	23 Oct 1985	2480
725304	24 Oct 1985	2481
725305	25 Oct 1985	2482
725308	28 Oct 1985	2483
725309	29 Oct 1985	2484
725310	30 Oct 1985	2485
725311	31 Oct 1985	2486
725312	01 Nov 1985	2487
725315	04 Nov 1985	2488
725316	05 Nov 1985	2489
725317	06 Nov 1985	2490
725318	07 Nov 1985	2491
725319	08 Nov 1985	2492
725322	11 Nov 1985	2493
725323	12 Nov 1985	2494
725324	13 Nov 1985	2495
725325	14 Nov 1985	2496
725326	15 Nov 1985	2497
725329	18 Nov 1985	2498
725330	19 Nov 1985	2499
725331	20 Nov 1985	2500
725332	21 Nov 1985	2501
725333	22 Nov 1985	2502
725336	25 Nov 1985	2503
725337	26 Nov 1985	2504
725338	27 Nov 1985	2505
725340	29 Nov 1985	2506
725343	02 Dec 1985	2507
725344	03 Dec 1985	2508
725345	04 Dec 1985	2509
725346	05 Dec 1985	2510
725347	06 Dec 1985	2511
725350	09 Dec 1985	2512
725351	10 Dec 1985	2513
725352	11 Dec 1985	2514
725353	12 Dec 1985	2515
725354	13 Dec 1985	2516
725357	16 Dec 1985	2517
725358	17 Dec 1985	2518
725359	18 Dec 1985	2519
725360	19 Dec 1985	2520
725361	20 Dec 1985	2521
725364	23 Dec 1985	2522
725365	24 Dec 1985	2523
725367	26 Dec 1985	2524
725368	27 Dec 1985	2525
725371	30 Dec 1985	2526
725372	31 Dec 1985	2527
725374	02 Jan 1986	2528
725375	03 Jan 1986	2529
725378	06 Jan 1986	2530
725379	07 Jan 1986	2531
725380	08 Jan 1986	2532
725381	09 Jan 1986	2533
725382	10 Jan 1986	2534
725385	13 Jan 1986	2535
725386	14 Jan 1986	2536
725387	15 Jan 1986	2537
725388	16 Jan 1986	2538
725389	17 Jan 1986	2539
725392	20 Jan 1986	2540
725393	21 Jan 1986	2541
725394	22 Jan 1986	2542
725395	23 Jan 1986	2543
725396	24 Jan 1986	2544
725399	27 Jan 1986	2545
725400	28 Jan 1986	2546
725401	29 Jan 1986	2547
725402	30 Jan 1986	2548
725403	31 Jan 1986	2549
725406	03 Feb 1986	2550
725407	04 Feb 1986	2551
725408	05 Feb 1986	2552
725409	06 Feb 1986	2553
725410	07 Feb 1986	2554
725413	10 Feb 1986	2555
725414	11 Feb 1986	2556
725415	12 Feb 1986	2557
725416	13 Feb 1986	2558
725417	14 Feb 1986	2559
725421	18 Feb 1986	2560
725422	19 Feb 1986	2561
725423	20 Feb 1986	2562
725424	21 Feb 1986	2563
725427	24 Feb 1986	2564
725428	25 Feb 1986	2565
725429	26 Feb 1986	2566
725430	27 Feb 1986	2567
725431	28 Feb 1986	2568
725434	03 Mar 1986	2569
725435	04 Mar 1986	2570
725436	05 Mar 1986	2571
725437	06 Mar 1986	2572
725438	07 Mar 1986	2573
725441	10 Mar 1986	2574
725442	11 Mar 1986	2575
725443	12 Mar 1986	2576
725444	13 Mar 1986	2577
725445	14 Mar 1986	2578
725448	17 Mar 1986	2579
725449	18 Mar 1986	2580
725450	19 Mar 1986	2581
725451	20 Mar 1986	2582
725452	21 Mar 1986	2583
725455	24 Mar 1986	2584
725456	25 Mar 1986	2585
725457	26 Mar 1986	2586
725458	27 Mar 1986	2587
725462	31 Mar 1986	2588
725463	01 Apr 1986	2589
725464	02 Apr 1986	2590
725465	03 Apr 1986	2591
725466	04 Apr 1986	2592
725469	07 Apr 1986	2593
725470	08 Apr 1986	2594
725471	09 Apr 1986	2595
725472	10 Apr 1986	2596
725473	11 Apr 1986	2597
725476	14 Apr 1986	2598
725477	15 Apr 1986	2599
725478	16 Apr 1986	2600
725479	17 Apr 1986	2601
725480	18 Apr 1986	2602
725483	21 Apr 1986	2603
725484	22 Apr 1986	2604
725485	23 Apr 1986	2605
725486	24 Apr 1986	2606
725487	25 Apr 1986	2607
725490	28 Apr 1986	2608
725491	29 Apr 1986	2609
725492	30 Apr 1986	2610
725493	01 May 1986	2611
725494	02 May 1986	2612
725497	05 May 1986	2613
725498	06 May 1986	2614
725499	07 May 1986	2615
725500	08 May 1986	2616
725501	09 May 1986	2617
725504	12 May 1986	2618
725505	13 May 1986	2619
725506	14 May 1986	2620
725507	15 May 1986	2621
725508	16 May 1986	2622
725511	19 May 1986	2623
725512	20 May 1986	2624
725513	21 May 1986	2625
725514	22 May 1986	2626
725515	23 May 1986	2627
725519	27 May 1986	2628
725520	28 May 1986	2629
725521	29 May 1986	2630
725522	30 May 1986	2631
725525	02 Jun 1986	2632
725526	03 Jun 1986	2633
725527	04 Jun 1986	2634
725528	05 Jun 1986	2635
725529	06 Jun 1986	2636
725532	09 Jun 1986	2637
725533	10 Jun 1986	2638
725534	11 Jun 1986	2639
725535	12 Jun 1986	2640
725536	13 Jun 1986	2641
725539	16 Jun 1986	2642
725540	17 Jun 1986	2643
725541	18 Jun 1986	2644
725542	19 Jun 1986	2645
725543	20 Jun 1986	2646
725546	23 Jun 1986	2647
725547	24 Jun 1986	2648
725548	25 Jun 1986	2649
725549	26 Jun 1986	2650
725550	27 Jun 1986	2651
725553	30 Jun 1986	2652
725554	01 Jul 1986	2653
725555	02 Jul 1986	2654
725556	03 Jul 1986	2655
725560	07 Jul 1986	2656
725561	08 Jul 1986	2657
725562	09 Jul 1986	2658
725563	10 Jul 1986	2659
725564	11 Jul 1986	2660
725567	14 Jul 1986	2661
725568	15 Jul 1986	2662
725569	16 Jul 1986	2663
725570	17 Jul 1986	2664
725571	18 Jul 1986	2665
725574	21 Jul 1986	2666
725575	22 Jul 1986	2667
725576	23 Jul 1986	2668
725577	24 Jul 1986	2669
725578	25 Jul 1986	2670
725581	28 Jul 1986	2671
725582	29 Jul 1986	2672
725583	30 Jul 1986	2673
725584	31 Jul 1986	2674
725585	01 Aug 1986	2675
725588	04 Aug 1986	2676
725589	05 Aug 1986	2677
725590	06 Aug 1986	2678
725591	07 Aug 1986	2679
725592	08 Aug 1986	2680
725595	11 Aug 1986	2681
725596	12 Aug 1986	2682
725597	13 Aug 1986	2683
725598	14 Aug 1986	2684
725599	15 Aug 1986	2685
725602	18 Aug 1986	2686
725603	19 Aug 1986	2687
725604	20 Aug 1986	2688
725605	21 Aug 1986	2689
725606	22 Aug 1986	2690
725609	25 Aug 1986	2691
725610	26 Aug 1986	2692
725611	27 Aug 1986	2693
725612	28 Aug 1986	2694
725613	29 Aug 1986	2695
725617	02 Sep 1986	2696
725618	03 Sep 1986	2697
725619	04 Sep 1986	2698
725620	05 Sep 1986	2699
725623	08 Sep 1986	2700
725624	09 Sep 1986	2701
725625	10 Sep 1986	2702
725626	11 Sep 1986	2703
725627	12 Sep 1986	2704
725630	15 Sep 1986	2705
725631	16 Sep 1986	2706
725632	17 Sep 1986	2707
725633	18 Sep 1986	2708
725634	19 Sep 1986	2709
725637	22 Sep 1986	2710
725638	23 Sep 1986	2711
725639	24 Sep 1986	2712
725640	25 Sep 1986	2713
725641	26 Sep 1986	2714
725644	29 Sep 1986	2715
725645	30 Sep 1986	2716
725646	01 Oct 1986	2717
725647	02 Oct 1986	2718
725648	03 Oct 1986	2719
725651	06 Oct 1986	2720
725652	07 Oct 1986	2721
725653	08 Oct 1986	2722
725654	09 Oct 1986	2723
725655	10 Oct 1986	2724
725658	13 Oct 1986	2725
725659	14 Oct 1986	2726
725660	15 Oct 1986	2727
725661	16 Oct 1986	2728
725662	17 Oct 1986	2729
725665	20 Oct 1986	2730
725666	21 Oct 1986	2731
725667	22 Oct 1986	2732
725668	23 Oct 1986	2733
725669	24 Oct 1986	2734
725672	27 Oct 1986	2735
725673	28 Oct 1986	2736
725674	29 Oct 1986	2737
725675	30 Oct 1986	2738
725676	31 Oct 1986	2739
725679	03 Nov 1986	2740
725680	04 Nov 1986	2741
725681	05 Nov 1986	2742
725682	06 Nov 1986	2743
725683	07 Nov 1986	2744
725686	10 Nov 1986	2745
725687	11 Nov 1986	2746
725688	12 Nov 1986	2747
725689	13 Nov 1986	2748
725690	14 Nov 1986	2749
725693	17 Nov 1986	2750
725694	18 Nov 1986	2751
725695	19 Nov 1986	2752
725696	20 Nov 1986	2753
725697	21 Nov 1986	2754
725700	24 Nov 1986	2755
725701	25 Nov 1986	2756
725702	26 Nov 1986	2757
725704	28 Nov 1986	2758
725707	01 Dec 1986	2759
725708	02 Dec 1986	2760
725709	03 Dec 1986	2761
725710	04 Dec 1986	2762
725711	05 Dec 1986	2763
725714	08 Dec 1986	2764
725715	09 Dec 1986	2765
725716	10 Dec 1986	2766
725717	11 Dec 1986	2767
725718	12 Dec 1986	2768
725721	15 Dec 1986	2769
725722	16 Dec 1986	2770
725723	17 Dec 1986	2771
725724	18 Dec 1986	2772
725725	19 Dec 1986	2773
725728	22 Dec 1986	2774
725729	23 Dec 1986	2775
725730	24 Dec 1986	2776
725732	26 Dec 1986	2777
725735	29 Dec 1986	2778
725736	30 Dec 1986	2779
725737	31 Dec 1986	2780
725739	02 Jan 1987	2781
725742	05 Jan 1987	2782
725743	06 Jan 1987	2783
725744	07 Jan 1987	2784
725745	08 Jan 1987	2785
725746	09 Jan 1987	2786
725749	12 Jan 1987	2787
725750	13 Jan 1987	2788
725751	14 Jan 1987	2789
725752	15 Jan 1987	2790
725753	16 Jan 1987	2791
725756	19 Jan 1987	2792
725757	20 Jan 1987	2793
725758	21 Jan 1987	2794
725759	22 Jan 1987	2795
725760	23 Jan 1987	2796
725763	26 Jan 1987	2797
725764	27 Jan 1987	2798
725765	28 Jan 1987	2799
725766	29 Jan 1987	2800
725767	30 Jan 1987	2801
725770	02 Feb 1987	2802
725771	03 Feb 1987	2803
725772	04 Feb 1987	2804
725773	05 Feb 1987	2805
725774	06 Feb 1987	2806
725777	09 Feb 1987	2807
725778	10 Feb 1987	2808
725779	11 Feb 1987	2809
725780	12 Feb 1987	2810
725781	13 Feb 1987	2811
725785	17 Feb 1987	2812
725786	18 Feb 1987	2813
725787	19 Feb 1987	2814
725788	20 Feb 1987	2815
725791	23 Feb 1987	2816
725792	24 Feb 1987	2817
725793	25 Feb 1987	2818
725794	26 Feb 1987	2819
725795	27 Feb 1987	2820
725798	02 Mar 1987	2821
725799	03 Mar 1987	2822
725800	04 Mar 1987	2823
725801	05 Mar 1987	2824
725802	06 Mar 1987	2825
725805	09 Mar 1987	2826
725806	10 Mar 1987	2827
725807	11 Mar 1987	2828
725808	12 Mar 1987	2829
725809	13 Mar 1987	2830
725812	16 Mar 1987	2831
725813	17 Mar 1987	2832
725814	18 Mar 1987	2833
725815	19 Mar 1987	2834
725816	20 Mar 1987	2835
725819	23 Mar 1987	2836
725820	24 Mar 1987	2837
725821	25 Mar 1987	2838
725822	26 Mar 1987	2839
725823	27 Mar 1987	2840
725826	30 Mar 1987	2841
725827	31 Mar 1987	2842
725828	01 Apr 1987	2843
725829	02 Apr 1987	2844
725830	03 Apr 1987	2845
725833	06 Apr 1987	2846
725834	07 Apr 1987	2847
725835	08 Apr 1987	2848
725836	09 Apr 1987	2849
725837	10 Apr 1987	2850
725840	13 Apr 1987	2851
725841	14 Apr 1987	2852
725842	15 Apr 1987	2853
725843	16 Apr 1987	2854
725847	20 Apr 1987	2855
725848	21 Apr 1987	2856
725849	22 Apr 1987	2857
725850	23 Apr 1987	2858
725851	24 Apr 1987	2859
725854	27 Apr 1987	2860
725855	28 Apr 1987	2861
725856	29 Apr 1987	2862
725857	30 Apr 1987	2863
725858	01 May 1987	2864
725861	04 May 1987	2865
725862	05 May 1987	2866
725863	06 May 1987	2867
725864	07 May 1987	2868
725865	08 May 1987	2869
725868	11 May 1987	2870
725869	12 May 1987	2871
725870	13 May 1987	2872
725871	14 May 1987	2873
725872	15 May 1987	2874
725875	18 May 1987	2875
725876	19 May 1987	2876
725877	20 May 1987	2877
725878	21 May 1987	2878
725879	22 May 1987	2879
725883	26 May 1987	2880
725884	27 May 1987	2881
725885	28 May 1987	2882
725886	29 May 1987	2883
725889	01 Jun 1987	2884
725890	02 Jun 1987	2885
725891	03 Jun 1987	2886
725892	04 Jun 1987	2887
725893	05 Jun 1987	2888
725896	08 Jun 1987	2889
725897	09 Jun 1987	2890
725898	10 Jun 1987	2891
725899	11 Jun 1987	2892
725900	12 Jun 1987	2893
725903	15 Jun 1987	2894
725904	16 Jun 1987	2895
725905	17 Jun 1987	2896
725906	18 Jun 1987	2897
725907	19 Jun 1987	2898
725910	22 Jun 1987	2899
725911	23 Jun 1987	2900
725912	24 Jun 1987	2901
725913	25 Jun 1987	2902
725914	26 Jun 1987	2903
725917	29 Jun 1987	2904
725918	30 Jun 1987	2905
725919	01 Jul 1987	2906
725920	02 Jul 1987	2907
725924	06 Jul 1987	2908
725925	07 Jul 1987	2909
725926	08 Jul 1987	2910
725927	09 Jul 1987	2911
725928	10 Jul 1987	2912
725931	13 Jul 1987	2913
725932	14 Jul 1987	2914
725933	15 Jul 1987	2915
725934	16 Jul 1987	2916
725935	17 Jul 1987	2917
725938	20 Jul 1987	2918
725939	21 Jul 1987	2919
725940	22 Jul 1987	2920
725941	23 Jul 1987	2921
725942	24 Jul 1987	2922
725945	27 Jul 1987	2923
725946	28 Jul 1987	2924
725947	29 Jul 1987	2925
725948	30 Jul 1987	2926
725949	31 Jul 1987	2927
725952	03 Aug 1987	2928
725953	04 Aug 1987	2929
725954	05 Aug 1987	2930
725955	06 Aug 1987	2931
725956	07 Aug 1987	2932
725959	10 Aug 1987	2933
725960	11 Aug 1987	2934
725961	12 Aug 1987	2935
725962	13 Aug 1987	2936
725963	14 Aug 1987	2937
725966	17 Aug 1987	2938
725967	18 Aug 1987	2939
725968	19 Aug 1987	2940
725969	20 Aug 1987	2941
725970	21 Aug 1987	2942
725973	24 Aug 1987	2943
725974	25 Aug 1987	2944
725975	26 Aug 1987	2945
725976	27 Aug 1987	2946
725977	28 Aug 1987	2947
725980	31 Aug 1987	2948
725981	01 Sep 1987	2949
725982	02 Sep 1987	2950
725983	03 Sep 1987	2951
725984	04 Sep 1987	2952
725988	08 Sep 1987	2953
725989	09 Sep 1987	2954
725990	10 Sep 1987	2955
725991	11 Sep 1987	2956
725994	14 Sep 1987	2957
725995	15 Sep 1987	2958
725996	16 Sep 1987	2959
725997	17 Sep 1987	2960
725998	18 Sep 1987	2961
726001	21 Sep 1987	2962
726002	22 Sep 1987	2963
726003	23 Sep 1987	2964
726004	24 Sep 1987	2965
726005	25 Sep 1987	2966
726008	28 Sep 1987	2967
726009	29 Sep 1987	2968
726010	30 Sep 1987	2969
726011	01 Oct 1987	2970
726012	02 Oct 1987	2971
726015	05 Oct 1987	2972
726016	06 Oct 1987	2973
726017	07 Oct 1987	2974
726018	08 Oct 1987	2975
726019	09 Oct 1987	2976
726022	12 Oct 1987	2977
726023	13 Oct 1987	2978
726024	14 Oct 1987	2979
726025	15 Oct 1987	2980
726026	16 Oct 1987	2981
726029	19 Oct 1987	2982
726030	20 Oct 1987	2983
726031	21 Oct 1987	2984
726032	22 Oct 1987	2985
726033	23 Oct 1987	2986
726036	26 Oct 1987	2987
726037	27 Oct 1987	2988
726038	28 Oct 1987	2989
726039	29 Oct 1987	2990
726040	30 Oct 1987	2991
726043	02 Nov 1987	2992
726044	03 Nov 1987	2993
