#<date in matlab serial format>	<date in the format dd mmm yyyy>	<time index>
722053	29 Nov 1976	230
722054	30 Nov 1976	231
722055	01 Dec 1976	232
722056	02 Dec 1976	233
722057	03 Dec 1976	234
722060	06 Dec 1976	235
722061	07 Dec 1976	236
722062	08 Dec 1976	237
722063	09 Dec 1976	238
722064	10 Dec 1976	239
722067	13 Dec 1976	240
722068	14 Dec 1976	241
722069	15 Dec 1976	242
722070	16 Dec 1976	243
722071	17 Dec 1976	244
722074	20 Dec 1976	245
722075	21 Dec 1976	246
722076	22 Dec 1976	247
722077	23 Dec 1976	248
722081	27 Dec 1976	249
722082	28 Dec 1976	250
722083	29 Dec 1976	251
722084	30 Dec 1976	252
722085	31 Dec 1976	253
722088	03 Jan 1977	254
722089	04 Jan 1977	255
722090	05 Jan 1977	256
722091	06 Jan 1977	257
722092	07 Jan 1977	258
722095	10 Jan 1977	259
722096	11 Jan 1977	260
722097	12 Jan 1977	261
722098	13 Jan 1977	262
722099	14 Jan 1977	263
722102	17 Jan 1977	264
722103	18 Jan 1977	265
722104	19 Jan 1977	266
722105	20 Jan 1977	267
722106	21 Jan 1977	268
722109	24 Jan 1977	269
722110	25 Jan 1977	270
722111	26 Jan 1977	271
722112	27 Jan 1977	272
722113	28 Jan 1977	273
722116	31 Jan 1977	274
722117	01 Feb 1977	275
722118	02 Feb 1977	276
722119	03 Feb 1977	277
722120	04 Feb 1977	278
722123	07 Feb 1977	279
722124	08 Feb 1977	280
722125	09 Feb 1977	281
722126	10 Feb 1977	282
722127	11 Feb 1977	283
722130	14 Feb 1977	284
722131	15 Feb 1977	285
722132	16 Feb 1977	286
722133	17 Feb 1977	287
722134	18 Feb 1977	288
722138	22 Feb 1977	289
722139	23 Feb 1977	290
722140	24 Feb 1977	291
722141	25 Feb 1977	292
722144	28 Feb 1977	293
722145	01 Mar 1977	294
722146	02 Mar 1977	295
722147	03 Mar 1977	296
722148	04 Mar 1977	297
722151	07 Mar 1977	298
722152	08 Mar 1977	299
722153	09 Mar 1977	300
722154	10 Mar 1977	301
722155	11 Mar 1977	302
722158	14 Mar 1977	303
722159	15 Mar 1977	304
722160	16 Mar 1977	305
722161	17 Mar 1977	306
722162	18 Mar 1977	307
722165	21 Mar 1977	308
722166	22 Mar 1977	309
722167	23 Mar 1977	310
722168	24 Mar 1977	311
722169	25 Mar 1977	312
722172	28 Mar 1977	313
722173	29 Mar 1977	314
722174	30 Mar 1977	315
722175	31 Mar 1977	316
722176	01 Apr 1977	317
722179	04 Apr 1977	318
722180	05 Apr 1977	319
722181	06 Apr 1977	320
722182	07 Apr 1977	321
722186	11 Apr 1977	322
722187	12 Apr 1977	323
722188	13 Apr 1977	324
722189	14 Apr 1977	325
722190	15 Apr 1977	326
722193	18 Apr 1977	327
722194	19 Apr 1977	328
722195	20 Apr 1977	329
722196	21 Apr 1977	330
722197	22 Apr 1977	331
722200	25 Apr 1977	332
722201	26 Apr 1977	333
722202	27 Apr 1977	334
722203	28 Apr 1977	335
722204	29 Apr 1977	336
722207	02 May 1977	337
722208	03 May 1977	338
722209	04 May 1977	339
722210	05 May 1977	340
722211	06 May 1977	341
722214	09 May 1977	342
722215	10 May 1977	343
722216	11 May 1977	344
722217	12 May 1977	345
722218	13 May 1977	346
722221	16 May 1977	347
722222	17 May 1977	348
722223	18 May 1977	349
722224	19 May 1977	350
722225	20 May 1977	351
722228	23 May 1977	352
722229	24 May 1977	353
722230	25 May 1977	354
722231	26 May 1977	355
722232	27 May 1977	356
722236	31 May 1977	357
722237	01 Jun 1977	358
722238	02 Jun 1977	359
722239	03 Jun 1977	360
722242	06 Jun 1977	361
722243	07 Jun 1977	362
722244	08 Jun 1977	363
722245	09 Jun 1977	364
722246	10 Jun 1977	365
