0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0142,1.0049,1.1214,1.0196,1.169,1.038,1.2162,1.0197,1.0163,1.0475,0.99423,1.027,0.9945,1.0148,0.9767,1.0156,1.1412,1.025,1.1813,0.98502,1.0824,1.0073,1.0117,1.0058,1.0583,0.95484,1.0137,1.0646,1.0692,0.98665,1.0479,0.95132,1.0762,0.99379,1.0037,1.1642,1.0178,1.0144,1.1013,1.1082,1.0364,0.95544,1.0221,0.96038,1.0419,0.99751,0.98157,1.0402,1.0014,1.0183,0.98817,1.12,1.0582,1.1639,1.0449,1.1396,1.2507,1.025,0.98689,0.99233,0.98075,1.1467,1.0033,1.0201,1.0156,0.9941,1.0748,1.0579,1.2085,1.0136,1.0171,1.0157,1.0101,1.0288,1.1708,1.0573,0.99457,0.99645,0.97626,1.0618,1.0724,0.99565,1.0772,1.033,0.99344,0.99967,1.1211,0.99338,0.96702,1.0399,1.061,1.167,0.99257,1.0337,1.0611,1.0939,0.98219,0.99229,0.98976,1.0006,1.0261,1.0386,0.99188,1.0039,1.086,1.0905,1.0737,1.1978,1.0501,1.0054,1.1427,1.0369,1.0741,1.001,1.0273,1.0825,1.0321,1.0288,1.0015,0.99691,1.0645,1.5941,1.3148,1.0363,1.035,1.0157,0.99114,0.99615,1.0237,1.0756,1.006,1.0435,1.0019,1.0317,1.0467,1.0237,1.0105,0.97308,0.98469,1.055,1.0012,0.98505,1.0309,1.1023,1.0778,1.2407,0.99006,0.98246,1.0498,1.0627,1.2327,0.9822,1.0899,1.0252,1.07,1.0533,1.2333,1.1278,1.4266,1.0061,1.0193,1.0441,0.9908,1.0055,1.0491,1.1051,1.0184,1.0706,1.0104,1.0609,1.1596,1.006,1.1035,0.98795,1.0131,0.99267
1.0468,1.1623,1.0632,1.1914,1.0006,1.1543,1.2313,0.99869,1.0132,1.0248,0.98985,1.0023,0.99079,1.0259,0.99894,1.0238,1.2805,1.0655,1.059,1.0326,0.93904,1.0759,1.0033,0.99441,0.98439,0.97535,1.0064,1.0132,1.0109,1.1779,1.0002,1.0066,0.97448,1.0172,1.0228,1.0735,1.0131,0.97702,1.0058,1.0759,1.0228,1.1365,1.0026,0.9826,1.1533,1.0555,1.0422,1.016,1.0041,0.98789,1.0224,1.4511,0.99374,1.1378,1.0678,0.96228,1.0142,0.99751,1.1259,0.99917,1.0515,1.1719,1.0555,1.1396,1.1054,1.0464,1.0183,1.1079,1.0378,1.0411,1.0035,1.0157,1.0237,1.4802,1.0287,1.0183,0.9647,1.2337,1.0376,1.0053,0.99376,1.0097,1.0596,1.1703,1.1831,1.0307,1.0527,1.0718,0.9888,0.98806,1.0113,0.99328,1.0544,1.0296,1.0174,0.98405,1.0381,1.0532,1.0136,1.5232,1.0888,1.08,1.0599,1.2688,0.96644,1.1364,0.99718,1.1194,1.0371,1.012,1.071,1.0393,1.2495,1.0158,1.0276,1.1666,1.0154,1.0165,1.0652,1.038,0.98247,1.081,1.1555,0.98714,1.0531,1.0717,0.97631,1.0016,0.99221,0.98346,1.0234,1.1579,1.0079,0.99974,0.99212,1.0332,1.1117,1.1485,1.0057,1.0113,1.077,1.1505,1.0469,0.99674,1.0531,1.0139,0.98838,1.0369,1.0332,1.0055,0.99326,0.99988,1.0478,1.043,1.0027,1.0663,1.2215,1.0367,1.0018,1.0644,0.98407,1.0529,1.0593,0.99635,1.1403,1.1025,1.0254,1.021,1.0319,0.98454,0.99703,1.0754,1.0428,1.052,1.092,0.99065
1.3594,1.0296,1.028,1.0579,0.96602,0.9917,1.1777,1.0113,1.3379,1.0466,1.2191,1.0358,1.0087,1.0235,1.0838,0.99689,1.001,0.99497,1.0402,1.0178,0.99327,1.2122,1.0073,1.0055,1.0001,1.0015,1.0396,1.0193,1.0484,1.0203,1.0221,0.97971,1.2763,1.0165,0.98283,1.1642,1.2218,1.0034,1.1274,1.1003,1.018,1.1399,1.0675,0.93991,1.0033,0.99866,1.1758,1.0384,1.0038,0.97181,1.0152,0.98681,1.0863,1.0189,0.92761,0.98262,1.5344,1.2243,1.0121,1.1291,0.98521,1.0597,0.99631,1.1062,1.0046,1.0424,0.9762,1.0969,1.0279,1.0541,0.98698,1.0385,1.0567,1.167,1.0103,1.0832,0.96855,1.0284,1.0175,1.0828,1.0585,1.0015,1.0153,1.0997,1.0187,0.98893,1.2051,0.97994,1.0332,0.94063,1.0065,0.99958,1.0681,0.98066,1.0132,1.0519,1.0442,0.96553,1.0137,1.0177,1.0425,1.1012,0.98427,0.99349,0.98959,1.049,1.0429,1.1741,0.99828,1.0798,1.338,0.98526,1.0069,1.0403,1.0276,1.1251,1.0525,1.0142,1.0126,1.0326,1.0302,1.209,1.0974,1.0405,0.9689,1.0548,1.0529,1.0645,1.0337,0.99857,1.0052,1.0213,1.1051,0.97495,0.99932,1.1073,0.97863,1.0851,1.0399,0.96362,1.0377,0.99134,1.0538,1.0094,1.1034,1.0102,0.97171,0.99505,1.1036,1.0028,1.0304,1.0533,0.95888,1.0839,0.99893,1.1866,0.88445,1.0639,0.97448,1.286,1.0409,1.0163,0.98703,0.97127,1.1478,1.0075,1.0347,0.9793,1.0045,1.0472,1.0091,1.0374,1.0466,1.0276,1.0947,1.0245
1.2479,1.1425,1.054,1.0275,1.0128,1.0645,1.0451,1.0283,1.1165,1.0745,1.1187,1.0273,1.0053,0.99003,1.0515,1.0206,1.0532,1.2203,1.0973,1.004,1.0501,0.96993,1.0712,0.97301,1.0196,0.99847,0.96817,1.0479,0.99619,1.1424,1.0117,1.1032,1.1126,1.0079,1.0416,1.2289,1.0026,0.99655,0.97833,0.93601,1.0099,1.3646,1.0341,0.93445,1.071,0.98142,1.1018,1.0175,1.0044,1.0222,0.98536,1.0982,1.1676,0.99038,0.97353,1.0727,1.0639,1.0386,1.0114,0.98306,1.015,1.0419,1.0312,1.005,1.1757,0.98454,1.0058,1.0298,1.0238,1.1219,1.0638,1.1127,0.99857,1.1971,1.0116,1.1705,1.0031,1.0545,1.0221,1.0936,1.08,1.0225,1.0214,1.0329,0.99768,0.96562,0.98368,1.0056,1.141,1.0102,1.0068,1.0871,0.9715,0.97393,1.0802,1.11,1.0066,1.0103,1.0056,1.0108,1.1071,1.0012,0.98854,1.0723,0.98949,1.0551,1.0574,1.041,1.0092,1.1224,0.99388,0.98993,1.0026,1.0118,1.0432,1.0458,1.0108,1.1332,1.0449,0.97597,0.94984,1.0349,0.99654,1.0209,1.3037,0.9543,1.0139,0.99518,0.97451,1.0216,0.99328,1.0212,1.0415,0.99871,1.024,1.0285,0.93597,1.0195,1.0031,1.0077,1.0035,1.3304,1.074,1.0972,1.0178,0.98439,1.037,1.0323,0.96157,1.1757,1.0132,1.0254,0.99029,1.0334,1.0335,1.2277,1.0631,1.0321,1.1739,0.98914,0.99585,0.98396,1.0283,1.0045,0.9933,1.0644,1.0611,0.97264,1.0054,1.0369,1.0105,1.0845,1.1155,1.1477,0.97464,1.0178
1.0515,0.96086,1.0082,1.0096,0.97031,1.0044,1.1312,0.99666,1.3134,1.1397,0.99002,1.0113,0.99573,1.0287,1.0357,1.0042,1.1268,1.0787,1.0449,1.4228,1.1527,1.1684,1.0006,1.048,1.0205,0.98215,0.98785,1.0199,1.1111,1.0442,1.0221,1.0279,1.0201,1.0215,1.0681,1.1383,0.98391,1.0574,1.0614,0.99266,1.0188,1.0028,0.98487,1.1057,1.1323,1.0052,1.1249,1.0124,1.0026,0.98752,1.0303,1.0751,1.0786,1.0659,1.2267,1.0822,0.99579,1.4475,1.1257,1.1003,1.0957,1.0497,1.0037,1.2909,1.1306,1.065,1.059,0.99658,1.035,1.1092,1.043,1.0204,1.0601,1.0118,1.129,0.99199,1.0698,1.1123,1.0094,1.0418,1.0488,0.9673,1.2478,1.0438,1.0519,1.0533,1.1662,1.0026,0.9775,0.97945,1.0157,1.2031,0.97196,0.99481,0.97853,1.0694,1.0134,1.1464,1.0214,1.0603,0.99497,0.99036,1.0489,0.9882,0.96625,0.98341,1.091,1.133,1.2123,0.9893,0.97791,0.99476,1.0458,0.99547,1.2392,1.0383,0.99059,1.0707,1.0288,1.1044,1.0662,0.99466,1.4171,1.1271,1.0216,1.1196,0.99791,1.0279,0.9806,0.99587,1.0002,1.0851,1.0134,1.1613,1.0015,1.0239,0.99878,1.198,1.0498,1.0598,1.0591,1.1593,1.0198,1.1275,1.0573,1.0008,1.0467,1.0469,1.03,1.0224,1.1556,0.97962,1.0827,1.0506,1.0011,1.134,1.1224,0.98636,1.0629,1.0808,1.0096,1.0886,1.0433,0.98068,1.0535,1.0317,1.1031,1.0032,0.97512,0.99201,0.99649,1.0239,1.0105,1.0288,1.0314,0.99952
0.99654,0.97142,1.0198,1.067,1.1962,1.1019,1.0086,1.0158,1.0112,1.0286,1.0973,1.0712,0.97981,0.99736,1.1082,1.0438,1.0505,1.0143,1.034,1.069,1.2233,1.0643,1.0296,1.1037,1.1432,1.0058,1.0579,1.0318,1.0153,1.1446,1.1028,1.0268,1.2262,1.119,1.0182,1.047,1.0921,1.1741,1.0035,1.0006,1.0308,1.0343,1.0337,1.0227,0.96007,1.0882,1.0767,1.1371,1.0222,0.98993,0.99575,1.2057,1.035,1.0748,1.0142,0.95378,1.2046,1.0867,0.99174,1.4882,1.2334,1.0365,1.049,1.0412,1.0185,0.96228,1.0333,1.0031,1.0153,1.1263,1.0563,0.9636,1.0473,1.3859,1.0243,0.9742,0.97057,1.0982,1.0165,0.98632,1.1787,1.0127,1.0119,1.003,1.0934,0.94889,1.0734,1.0076,1.1185,1.0011,1.0651,1.0294,1.0292,1.0522,1.03,1.0494,1.0274,1.0081,0.97653,1.4982,0.99612,0.9974,1.0371,1.0544,1.0056,1.0165,1.1018,1.0345,1.1067,0.9943,1.0335,1.0979,1.0493,1.0659,1.1767,1.069,1.083,1.0483,1.0485,1.1324,0.96698,1.3758,1.0832,1.0033,1.045,0.99008,1.0572,0.96991,0.98801,1.0143,0.99701,1.0118,1.0142,0.98448,0.9978,1.1206,1.1221,1.0596,1.1774,0.99919,1.0463,1.0867,1.0159,1.0439,1.0203,0.98941,1.0295,1.0731,1.0411,1.084,0.99937,1.0134,0.99769,1.0247,1.0143,1.0709,1.1722,1.0001,1.0524,1.07,1.0068,1.0323,1.042,0.99843,1.2081,1.0158,1.004,0.95141,0.98586,1.1158,1.0458,0.99808,1.014,1.0143,1.1541,1.202
